Job Class,Percentage,Link
Management,6.1,https://en.wikipedia.org/wiki/Management
Business and Financial operations,5,https://en.wikipedia.org/wiki/Business_operations
Computer and Mathematical,2.7,https://en.wikipedia.org/wiki/Computer_science
Architecture and Engineering,1.7,https://en.wikipedia.org/wiki/Architectural_engineering
Life, Physical and Social Science,0.9,https://en.wikipedia.org/wiki/Social_science
Community and Social Service,1.6,https://en.wikipedia.org/wiki/Public_service
Legal,0.8,https://en.wikipedia.org/wiki/Law
Education, training and library,6.1,https://en.wikipedia.org/wiki/Education_for_librarianship
Arts, design, entertainment, sports and media,1.7,https://en.wikipedia.org/wiki/Entertainment
Healthcare practioners and technical,5.5,https://en.wikipedia.org/wiki/Health_care_in_the_United_States
Healthcare support,2.8,https://en.wikipedia.org/wiki/Preventive_healthcare
Protective service,2.3,https://en.wikipedia.org/wiki/Police
Food preparation and serving,8.3,https://en.wikipedia.org/wiki/Food_safety
Building and grounds cleaning and maintenance,3.7,https://en.wikipedia.org/wiki/Roof_cleaning
Personal care and service,4,https://en.wikipedia.org/wiki/Beauty_salon
Sales,10.2,https://en.wikipedia.org/wiki/Sales
Office and administrative support,15.1,https://en.wikipedia.org/wiki/Receptionist
Farming, fishing and forestry,0.6,https://en.wikipedia.org/wiki/Commercial_fishing
Construction and extraction,4.3,https://en.wikipedia.org/wiki/Construction_engineering
Installation, maintenance and repair,3.8,https://en.wikipedia.org/wiki/Maintenance_(technical)
Production,6.1,https://en.wikipedia.org/wiki/Production_(economics)
Transportation and material moving,6.5,https://en.wikipedia.org/wiki/Transportation_in_the_United_States
Total,99.8,
